UTR|RRN|TXN_DATE|TXN_TIME|AMOUNT|STATUS|RESPONSE_CODE|SWITCH_REF
UTR000001|701295226816|20240201|083009|13166.50|SUCCESS|00|SW000001
UTR000002|785124311129|20240201|102918|19079.43|SUCCESS|00|SW000002
UTR000003|832722619476|20240201|120805|35272.35|SUCCESS|00|SW000003
UTR000004|740038232984|20240201|204030|9359.60|SUCCESS|00|SW000004
UTR000005|838957103559|20240201|144744|19259.46|SUCCESS|00|SW000005
UTR000006|803477663810|20240201|071445|14515.85|SUCCESS|00|SW000006
UTR000007|644102564321|20240201|062441|31441.76|SUCCESS|00|SW000007
UTR000008|340694161794|20240201|170427|651.07|SUCCESS|00|SW000008
UTR000009|549636108057|20240201|190000|3235.47|SUCCESS|00|SW000009
UTR000010|936072515073|20240201|123602|18669.72|SUCCESS|00|SW000010
UTR000011|579128460628|20240201|105334|36768.50|SUCCESS|00|SW000011
UTR000012|399550739629|20240201|080626|16695.78|SUCCESS|00|SW000012
UTR000013|294094632495|20240201|145845|33618.56|SUCCESS|00|SW000013
UTR000014|990844685748|20240201|062054|1405.79|SUCCESS|00|SW000014
UTR000015|294511633103|20240201|120558|6113.60|SUCCESS|00|SW000015
UTR000016|776035843244|20240201|060249|44799.94|SUCCESS|00|SW000016
UTR000017|351501590809|20240201|163611|14898.34|SUCCESS|00|SW000017
UTR000018|940114988683|20240201|180752|9376.05|SUCCESS|00|SW000018
UTR000019|741230209734|20240201|152351|22273.46|SUCCESS|00|SW000019
UTR000020|588715952969|20240201|180706|192.02|SUCCESS|00|SW000020
UTR000021|463603631714|20240201|120753|48196.86|SUCCESS|00|SW000021
UTR000022|587981654337|20240201|214844|14061.42|SUCCESS|00|SW000022
UTR000024|478460824624|20240201|204556|47157.61|SUCCESS|00|SW000023
UTR000025|240562628776|20240201|093729|35429.31|SUCCESS|00|SW000024
UTR000026|569092748614|20240201|093146|29107.90|SUCCESS|00|SW000025
UTR000027|150114292998|20240201|111017|13569.48|SUCCESS|00|SW000026
